ECU_ADR;ECU_NAME;ECU_SGBD;ID_DATUM;ID_HW_NR;ID_BMW_NR;ID_SG_ADR;ECU_GRUPPE;ID_LIEF_NR;JOB_STATUS;_TEL_ANTWORT;_TEL_AUFTRAG;ECU_GROBNAME;ID_COD_INDEX;ID_DATUM_TAG;ID_LIEF_TEXT;ID_SW_NR_FSV;ID_SW_NR_MCV;ID_SW_NR_OSV;ID_SW_NR_RES;ID_VAR_INDEX;SERIENNUMMER;ID_DATUM_JAHR;ID_DIAG_INDEX;ID_DATUM_MONAT
78;Klimaautomatik;IHKA87;12.12.2005;12;6983944;120;D_KLIMA;56;OKAY;9F,F1,78,5A,80,00,00,06,98,39,44,12,01,05,D0,47,55,20,05,12,12,56,00,10,E8,06,00,88,03,03,1E,00,00,00,CA;C2,EF,F1,1A,80;KLIMA;1;12;Siemens VDO Automotive;6.0.136;0.16.232;3.3.30;0.0.0;18261;;2005;1488;12
00;Junction Box Beifahrer;JBBF87;01.03.2004;04;9134484;0;D_ZGM;9;OKAY;9F,F1,00,5A,80,00,00,09,13,44,84,04,07,08,C0,47,59,20,04,03,01,09,00,12,8D,05,09,00,03,03,00,00,00,00,A5;;JBBF;7;1;Loewe => Lear;5.9.0;0.18.141;3.3.0;0.0.0;18265;;2004;2240;3
6D;Sitzmodul Fahrer;FAS_PLX;29.11.2005;04;6926358;109;D_FAS;24;OKAY;9F,F1,6D,5A,80,00,00,06,92,63,58,04,10,0C,30,48,47,20,05,11,29,24,00,0A,67,05,03,00,03,03,03,00,00,00,0E;;FAS;16;29;Temic;5.3.0;0.10.103;3.3.3;0.0.0;18503;;2005;3120;11
17;Elektrische Kraftstoffpumpe 2. Generation;EKPM60_2;26.01.2006;03;7169960;23;D_EKP;7;OKAY;9F,F1,17,5A,80,00,00,07,16,99,60,03,03,06,11,4C,49,20,06,01,26,07,00,10,5F,05,00,23,03,03,1E,00,00,01,59;;EKP;3;26;Helbako;5.0.35;0.16.95;3.3.30;0.0.1;19529;;2006;1553;1
40;Car Access System 2 / 3;CAS;28.01.2006;03;9147224;64;D_CAS;4;OKAY;9F,F1,40,5A,80,00,00,09,14,72,24,03,05,06,A0,47,54,20,06,01,28,04,00,00,00,06,04,02,03,03,00,00,00,00,0B;;CAS;5;28;Siemens;6.4.2;0.0.0;3.3.0;0.0.0;18260;;2006;1696;1
56;Funktionszentrum Dach;FZD_87;13.12.2002;34;9205105;86;D_FZD;2;OKAY;9F,F1,56,5A,80,00,00,09,20,51,05,34,06,05,A0,48,43,20,02,12,13,02,00,0C,03,05,01,03,03,03,00,00,00,08,18;;FZD;6;13;Kostal;5.1.3;0.12.3;3.3.0;0.0.8;18499;;2002;1440;12
72;Fussraum Modul Fahrerseite;FRM_87;24.07.2006;10;6987998;114;D_KBM;9;OKAY;9F,F1,72,5A,80,00,00,06,98,79,98,10,11,05,C0,47,58,20,06,07,24,09,00,0C,04,05,46,00,03,03,00,00,00,00,CB;;FRM;17;24;Loewe => Lear;5.70.0;0.12.4;3.3.0;0.0.0;18264;;2006;1472;7
12;Motorelektronik MS 70 6 Zylinder N52;MSV70;02.01.2006;00;7577968;18;D_MOTOR;4;OKAY;9F,F1,12,5A,80,00,00,07,57,79,68,00,04,01,00,33,34,20,06,01,02,04,00,00,00,00,00,00,00,00,00,FF,FF,FF,51;;DME/DDE;4;2;Siemens;0.0.0;0.0.0;0.0.0;255.255.255;13108;;2006;256;1
01;Airbag Steuergerät;MRS5;20.12.2005;10;9134280;1;D_SIM;8;OKAY;9F,F1,01,5A,80,00,00,09,13,42,80,10,08,08,E0,47,5A,20,05,12,20,08,00,16,20,04,0A,00,03,28,0A,00,00,00,C2;;MRS;8;20;Bosch;4.10.0;0.22.32;3.40.10;0.0.0;18266;;2005;2272;12
18;Getriebesteuergerät GS19 B;GS19B;11.12.2005;13;7563275;24;D_EGS;8;OKAY;BC,F1,18,5A,80,00,00,07,56,32,75,13,02,02,02,4D,48,20,05,12,11,08,00,10,60,19,2E,03,02,03,0A,00,00,00,00,00,07,53,60,53,11,01,02,93,30,34,37,47,32,35,30,30,34,37,47,32,35,30,50,34,36,33,5A,57;;EGS;2;11;Bosch;25.46.3;0.16.96;2.3.10;0.0.0;19784;011010293;2005;514;12
