Results;SA_Code;Description
BR;E60_;
LACK;0A08;Silbergrau Metallic 
SA_1;205;Automatic transmission
SA_2;226;Sports suspension settings
SA_3;300;Emergency spare wheel
SA_4;302;Alarm system
SA_5;319;Integrated universal remote control
SA_6;339;Shadow Line
SA_7;354;Windscreen with green shade band
SA_8;403;Glass roof, electrical
SA_9;430;Interior and exterior mirrors with automatic anti-dazzle function
C_TYP;NB33;E60 Saloon N62B44 LHD US
SA_10;431;Interior rear-view mirror with automatic anti-dazzle function
SA_11;438;Fine-wood trim
SA_12;441;Smoker's package
SA_13;442;Cupholder
SA_14;459;Seat adjustment, electrical with memory
SA_15;473;Armrest front
SA_16;481;Sport seats for driver and front passenger
SA_17;488;Lumbar support for driver and front passenger
SA_18;508;Park distance control
SA_19;522;Xenon Light
SA_20;524;Adaptive headlight
SA_21;534;Automatic air conditioning
SA_22;540;Cruise control
SA_23;563;Lights package
SA_24;591;Light alloy wheels Star-spoke style 124 with runflat tyres and mixed tyres
SA_25;605;Telematics preparation
SA_26;639;Full preparation package mobile phone USA/CDN including Telematics
SA_27;645;Radio control US
SA_28;672;CD changer for 6 CDs
SA_29;677;HiFi system Professional
SA_30;693;Preparation for satellite tuner
SA_31;697;Area code 1 for DVD
SA_32;785;White direction indicator lights
SA_33;818;Battery master switch
SA_34;823;Hot-climate version
SA_35;845;Acoustic seat-belt warning
SA_36;850;Additional tank filling, export
SA_37;853;Language version English
SA_38;876;Radio frequency 315 MHz
SA_39;925;Shipping protection package
SA_40;992;Control of number-plate attachment
SA_41;9AA;External skin protection
C_DATE;0305;03.2005
SA_ANZ;41;
POLSTER;LCAD;
VERSION;02;
E_WORT_1;B110;Battery 110 Ah, DO
E_WORT_ANZ;1;
JOB_STATUS;OKAY;
ZUSBAU_ANZ;0;
HO_WORT_ANZ;0;
STANDARD_FA;E60_#0305*NB33%0A08&LCAD$205$226$300$302$319$339$354$403$430$431$438$441$442$459$473$481$488$508$522$524$534$540$563$591$605$639$645$672$677$693$697$785$818$823$845$850$853$876$925$992$9AA-B110;
