Results;SA_Code;Description
BR;E60_;
LACK;0A08;Silbergrau Metallic 
SA_1;205;Automatic transmission
SA_2;226;Sports suspension settings
SA_3;229;Dynamic drive
SA_4;300;Emergency spare wheel
SA_5;302;Alarm system
SA_6;319;Integrated universal remote control
SA_7;339;Shadow Line
SA_8;354;Windscreen with green shade band
SA_9;403;Glass roof, electrical
C_TYP;NB33;E60 Saloon N62B44 LHD US
SA_10;430;Interior and exterior mirrors with automatic anti-dazzle function
SA_11;431;Interior rear-view mirror with automatic anti-dazzle function
SA_12;438;Fine-wood trim
SA_13;441;Smoker's package
SA_14;442;Cupholder
SA_15;459;Seat adjustment, electrical with memory
SA_16;473;Armrest front
SA_17;481;Sport seats for driver and front passenger
SA_18;488;Lumbar support for driver and front passenger
SA_19;508;Park distance control
SA_20;522;Xenon Light
SA_21;524;Adaptive headlight
SA_22;534;Automatic air conditioning
SA_23;540;Cruise control
SA_24;563;Lights package
SA_25;591;Light alloy wheels Star-spoke style 124 with runflat tyres and mixed tyres
SA_26;605;Telematics preparation
SA_27;639;Full preparation package mobile phone USA/CDN including Telematics
SA_28;645;Radio control US
SA_29;672;CD changer for 6 CDs
SA_30;677;HiFi system Professional
SA_31;693;Preparation for satellite tuner
SA_32;697;Area code 1 for DVD
SA_33;785;White direction indicator lights
SA_34;818;Battery master switch
SA_35;823;Hot-climate version
SA_36;845;Acoustic seat-belt warning
SA_37;850;Additional tank filling, export
SA_38;853;Language version English
SA_39;876;Radio frequency 315 MHz
SA_40;925;Shipping protection package
SA_41;992;Control of number-plate attachment
SA_42;9AA;External skin protection
C_DATE;0305;03.2005
SA_ANZ;42;
POLSTER;LCAD;
VERSION;02;
E_WORT_1;B110;Battery 110 Ah, DO
E_WORT_ANZ;1;
JOB_STATUS;OKAY;
ZUSBAU_ANZ;0;
HO_WORT_ANZ;0;
STANDARD_FA;E60_#0305*NB33%0A08&LCAD$205$226$229$300$302$319$339$354$403$430$431$438$441$442$459$473$481$488$508$522$524$534$540$563$591$605$639$645$672$677$693$697$785$818$823$845$850$853$876$925$992$9AA-B110;
