ECU_ADR;ECU_NAME;ECU_SGBD;ID_DATUM;ID_HW_NR;ID_BMW_NR;ID_SG_ADR;ECU_GRUPPE;ID_LIEF_NR;JOB_STATUS;_TEL_ANTWORT;_TEL_AUFTRAG;ECU_GROBNAME;ID_COD_INDEX;ID_DATUM_TAG;ID_LIEF_TEXT;ID_SW_NR_FSV;ID_SW_NR_MCV;ID_SW_NR_OSV;ID_SW_NR_RES;ID_VAR_INDEX;SERIENNUMMER;ID_DATUM_JAHR;ID_DIAG_INDEX;ID_DATUM_MONAT
17;Elektrische Kraftstoffpumpe 2. Generation;EKPM60_2;19.08.2005;03;7169960;23;D_EKP;7;OKAY;9F,F1,17,5A,80,00,00,07,16,99,60,03,03,06,11,4C,49,20,05,08,19,07,00,10,5F,05,00,23,03,03,1E,00,00,01,52;C2,EF,F1,1A,80;EKP;3;19;Helbako;5.0.35;0.16.95;3.3.30;0.0.1;19529;;2005;1553;8
00;Junction Box Beifahrer;JBBF87;01.03.2004;04;6983308;0;D_ZGM;9;OKAY;9F,F1,00,5A,80,00,00,06,98,33,08,04,06,08,C0,47,59,20,04,03,01,09,00,10,EB,05,00,1B,03,03,00,00,00,00,07;;JBBF;6;1;Loewe => Lear;5.0.27;0.16.235;3.3.0;0.0.0;18265;;2004;2240;3
72;Fussraum Modul Fahrerseite;FRM_87;26.08.2005;10;6977723;114;D_KBM;9;OKAY;9F,F1,72,5A,80,00,00,06,97,77,23,10,11,05,C0,47,58,20,05,08,26,09,00,0C,04,05,3C,00,03,03,00,00,00,00,4B;;FRM;17;26;Loewe => Lear;5.60.0;0.12.4;3.3.0;0.0.0;18264;;2005;1472;8
12;Motorelektronik MS 70 6 Zylinder N52;MSV70;18.08.2005;00;7561817;18;D_MOTOR;4;OKAY;9F,F1,12,5A,80,00,00,07,56,18,17,00,04,01,00,33,34,20,05,08,18,04,00,00,00,00,00,00,00,00,00,FF,FF,FF,BA;;DME/DDE;4;18;Siemens;0.0.0;0.0.0;0.0.0;255.255.255;13108;;2005;256;8
40;Car Access System 2 / 3;CAS;23.08.2005;03;6981416;64;D_CAS;4;OKAY;9F,F1,40,5A,80,00,00,06,98,14,16,03,05,06,A0,47,54,20,05,08,23,04,00,00,00,06,02,06,03,03,00,00,00,00,23;;CAS;5;23;Siemens;6.2.6;0.0.0;3.3.0;0.0.0;18260;;2005;1696;8
01;Airbag Steuergerät;MRS5;24.08.2005;10;6977427;1;D_SIM;8;OKAY;9F,F1,01,5A,80,00,00,06,97,74,27,10,08,08,E0,47,5A,20,05,08,24,08,00,10,F8,04,1E,03,03,28,0A,00,00,00,FF;;MRS;8;24;Bosch;4.30.3;0.16.248;3.40.10;0.0.0;18266;;2005;2272;8
56;Funktionszentrum Dach;FZD_87;13.12.2002;34;6976288;86;D_FZD;2;OKAY;9F,F1,56,5A,80,00,00,06,97,62,88,34,06,05,A0,48,43,20,02,12,13,02,00,0C,03,04,06,05,03,03,00,00,00,08,26;;FZD;6;13;Kostal;4.6.5;0.12.3;3.3.0;0.0.8;18499;;2002;1440;12
18;Getriebesteuergerät GS19 B;GS19B;18.08.2005;12;7556039;24;D_EGS;8;OKAY;BC,F1,18,5A,80,00,00,07,55,60,39,12,02,02,02,4D,48,20,05,08,18,08,00,10,60,19,2E,01,02,03,0A,00,00,00,00,00,07,53,60,53,63,20,60,60,30,34,37,47,32,35,30,30,34,37,47,32,35,30,50,34,36,31,5A,DC;;EGS;2;18;Bosch;25.46.1;0.16.96;2.3.10;0.0.0;19784;063206060;2005;514;8
78;Klimaautomatik;IHKA87;23.08.2005;12;6983944;120;D_KLIMA;56;OKAY;9F,F1,78,5A,80,00,00,06,98,39,44,12,01,05,D0,47,55,20,05,08,23,56,00,10,E8,06,00,88,03,03,1E,00,00,00,D1;;KLIMA;1;23;Siemens VDO Automotive;6.0.136;0.16.232;3.3.30;0.0.0;18261;;2005;1488;8
63;Radio Stufe 2;RAD2;22.08.2005;A16;6983018;99;D_MMI;17;OKAY;9F,F1,63,5A,80,00,00,06,98,30,18,D0,03,09,10,4B,43,20,05,08,22,17,00,00,00,37,14,05,00,00,00,04,0A,00,F1;;MASK/CCC;3;22;Alpine;55.20.5;0.0.0;0.0.0;4.10.0;19267;;2005;2320;8
62;MOST/CAN-Gateway (im Radio Stufe 2);RAD2_GW;22.08.2005;C1;6978192;98;D_MOSTGW;17;OKAY;9F,F1,62,5A,80,00,00,06,97,81,92,C1,00,0A,C0,4B,44,20,05,08,22,17,00,0C,24,05,28,02,03,1E,28,00,00,00,A4;;MOSTGW;0;22;Alpine;5.40.2;0.12.36;3.30.40;0.0.0;19268;;2005;2752;8
1C;Längs Dynamik Management;LDM_90;23.08.2005;A20;6774206;28;D_LDM;24;OKAY;9F,F1,1C,5A,80,00,00,06,77,42,06,D4,06,0A,90,4A,57,20,05,08,23,24,00,10,ED,01,4B,01,03,03,15,2C,0D,05,77;;LDM/ICM;6;23;Temic;1.75.1;0.16.237;3.3.21;44.13.5;19031;;2005;2704;8
60;Instrumentenkombi;KOMB87;01.09.2005;0*;6983812;96;D_KOMBI;10;OKAY;9F,F1,60,5A,80,00,00,06,98,38,12,0E,07,08,D0,52,51,20,05,09,01,10,00,10,EC,59,52,C1,03,03,00,00,00,00,EF;;KOMBI;7;1;VDO;89.82.193;0.16.236;3.3.0;0.0.0;21073;;2005;2256;9
92;;;00.00.0000;00;6979536;146;;0;OKAY;9F,F1,92,5A,80,00,00,06,97,95,36,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,64;;VIRTSG92;0;0;unbekannter Hersteller;0.0.0;0.0.0;0.0.0;0.0.0;0;;0;0;0
29;Dynamische Stabilitätskontrolle MK60E5 DSC+;DSC_87;30.08.2005;08;6775387;41;D_DSC;18;OKAY;9F,F1,29,5A,80,00,00,06,77,53,87,08,07,05,B1,4C,41,20,05,08,30,18,00,0B,FD,04,1E,0D,00,00,00,00,00,00,E8;;DSC;7;30;Continental Teves;4.30.13;0.11.253;0.0.0;0.0.0;19521;;2005;1457;8
;;;;;;;;;OKAY;;;;;;;;;;;;;;;
