ECU_ADR;ECU_NAME;ECU_SGBD;ID_DATUM;ID_HW_NR;ID_BMW_NR;ID_SG_ADR;ECU_GRUPPE;ID_LIEF_NR;JOB_STATUS;_TEL_ANTWORT;_TEL_AUFTRAG;ECU_GROBNAME;ID_COD_INDEX;ID_DATUM_TAG;ID_LIEF_TEXT;ID_SW_NR_FSV;ID_SW_NR_MCV;ID_SW_NR_OSV;ID_SW_NR_RES;ID_VAR_INDEX;SERIENNUMMER;ID_DATUM_JAHR;ID_DIAG_INDEX;ID_DATUM_MONAT
23;Aktive Rollstabilisierung;ARS_70;04.07.2007;33;6780590;35;D_ARS;24;OKAY;BC,F1,23,5A,80,00,00,06,78,05,90,33,12,02,52,50,5A,20,07,07,04,24,00,12,F8,08,08,00,05,06,00,08,08,00,00,00,06,78,05,90,00,10,67,64,30,32,34,31,37,50,30,30,32,34,31,37,50,30,46,31,30,30,43,8F;C2,EF,F1,1A,80;ARS/SVT;18;4;Temic;8.8.0;0.18.248;5.6.0;8.8.0;20570;000106764;2007;594;7
00;Karosserie Gatewaymodul;KGM_60;12.07.2007;01;9157155;0;D_ZGM;9;OKAY;9F,F1,00,5A,80,00,00,09,15,71,55,01,04,0B,D0,4D,56,20,07,07,12,09,00,10,6C,07,23,02,03,05,0A,00,00,00,D4;;ZGM;4;12;Lear Corporation;7.35.2;0.16.108;3.5.10;0.0.0;19798;;2007;3024;7
20;Reifen Druck Control;RDC_CAN;09.07.2007;02;6778387;32;D_RDC;75;OKAY;9F,F1,20,5A,80,00,00,06,77,83,87,02,00,10,00,45,47,20,07,07,09,75,00,12,38,08,02,00,03,0A,00,00,00,00,BC;;RDC;0;9;Huf-Electronics Bretten GmbH;8.2.0;0.18.56;3.10.0;0.0.0;17735;;2007;4096;7
40;Car Access System 2 / 3;CAS;10.07.2007;C4;6943835;64;D_CAS;4;OKAY;9F,F1,40,5A,80,00,00,06,94,38,35,C4,08,06,A0,53,41,20,07,07,10,04,00,00,00,01,07,06,03,03,00,00,00,00,0D;;CAS;8;10;Siemens;1.7.6;0.0.0;3.3.0;0.0.0;21313;;2007;1696;7
12;Motorelektronik ME 9  8 Zylinder N62 TUE2;N62_TUE2;13.06.2007;00;7577664;18;D_MOTOR;8;OKAY;9F,F1,12,5A,80,00,00,07,57,76,64,00,15,00,20,37,51,20,07,06,13,08,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,AD;;DME/DDE;21;13;Robert Bosch GmbH;255.255.255;255.255.255;255.255.255;255.255.255;14161;;2007;32;6
01;Airbag-Elektronik;ACSM60;30.06.2007;22;9145400;1;D_SIM;58;OKAY;9F,F1,01,5A,80,00,00,09,14,54,00,22,22,0B,20,4D,51,20,07,06,30,58,00,14,B6,05,00,01,04,00,00,00,00,00,72;;SIM/SGM;34;30;Autoliv AB;5.0.1;0.20.182;4.0.0;0.0.0;19793;;2007;2848;6
5E;Gangwahlschalter;GWS_60;18.10.2006;17;9149501;94;D_GWS;61;OKAY;BC,F1,5E,5A,80,00,00,09,14,95,01,17,07,0F,C0,53,5A,20,06,10,18,61,00,16,F3,05,04,07,04,01,00,00,00,00,00,00,09,14,95,01,00,00,00,00,30,36,31,32,34,31,30,30,36,31,32,34,31,30,46,30,33,30,41,88;;GWS;7;18;Marquardt GmbH;5.4.7;0.22.243;4.1.0;0.0.0;21338;000000000;2006;4032;10
27;Passive Go System;PGS_65_2;03.07.2007;00;9134707;39;D_PGS;4;OKAY;9F,F1,27,5A,80,00,00,09,13,47,07,00,04,02,61,4B,5A,20,07,07,03,04,00,0C,1E,09,10,00,03,03,00,00,00,00,85;;PGS;4;3;Siemens;9.16.0;0.12.30;3.3.0;0.0.0;19290;;2007;609;7
44;Multi Drive Schiebehebedach;SD_KWP;28.08.2006;C1;9137056;68;D_SHD;4;OKAY;9F,F1,44,5A,80,00,00,09,13,70,56,C1,07,03,51,48,58,20,06,08,28,04,00,0B,AC,05,04,05,03,02,03,05,04,02,7E;;SHD/MDS;7;28;Siemens;5.4.5;0.11.172;3.2.3;5.4.2;18520;;2006;849;8
02;Schaltzentrum Lenksäule;SZL_60;12.07.2007;08;6968199;2;D_SZL;2;OKAY;9F,F1,02,5A,80,00,00,06,96,81,99,08,23,01,C8,4E,42,20,07,07,12,02,00,15,BE,18,0A,00,04,00,01,00,00,00,E2;;SZL;35;12;Leopold Kostal GmbH & Co. KG;24.10.0;0.21.190;4.0.1;0.0.0;20034;;2007;456;7
