Results;SA_Code;Description
BR;E66_;
LACK;0475;Saphirschwarz Metallic 
SA_1;216;Servotronic
SA_2;229;Dynamic drive
SA_3;245;Steering wheel column adjustment, electrical
SA_4;268;Light alloy wheels with mixed tyres Star-spoke style 95
SA_5;302;Alarm system
SA_6;316;Automatic operation of tailgate
SA_7;319;Integrated universal remote control
SA_8;323;Soft-Close function for doors
SA_9;358;Climate comfort windscreen
C_TYP;GN63;E66 N62B44 LHD US
SA_10;403;Glass roof, electrical
SA_11;415;Roller sunblind for rear window
SA_12;416;Roller sunblinds
SA_13;423;Floor mats in velour
SA_14;430;Interior and exterior mirrors with automatic anti-dazzle function
SA_15;431;Interior rear-view mirror with automatic anti-dazzle function
SA_16;438;Fine-wood trim
SA_17;441;Smoker's package
SA_18;442;Cupholder
SA_19;456;Comfort seats front, electrically adjustable
SA_20;460;Comfort seats rear, electrically adjustable
SA_21;470;Child seat ISOFIX attachment
SA_22;488;Lumbar support for driver and front passenger
SA_23;502;Headlight washer system
SA_24;521;Rain sensor
SA_25;522;Xenon Light
SA_26;534;Automatic air conditioning
SA_27;609;Navigation system Professional
SA_28;620;Voice control
SA_29;645;Radio control US
SA_30;672;CD changer for 6 CDs
SA_31;677;HiFi system Professional
SA_32;691;CD holder
SA_33;785;White direction indicator lights
SA_34;845;Acoustic seat-belt warning
SA_35;850;Additional tank filling, export
SA_36;853;Language version English
SA_37;925;Shipping protection package
SA_38;992;Control of number-plate attachment
C_DATE;0302;03.2002
SA_ANZ;38;
POLSTER;U6SW;
VERSION;02;
E_WORT_1;LEDE;Leather equipment
HO_WORT_1;NAV2;Retrofit, navigation 02
E_WORT_ANZ;1;
JOB_STATUS;OKAY;
ZUSBAU_ANZ;0;
HO_WORT_ANZ;1;
STANDARD_FA;E66_#0302*GN63%0475&U6SW$216$229$245$268$302$316$319$323$358$403$415$416$423$430$431$438$441$442$456$460$470$488$502$521$522$534$609$620$645$672$677$691$785$845$850$853$925$992-LEDE+NAV2;
