Results;SA_Code;Description
BR;E65_;
LACK;0482;Toledoblau Metallic 
SA_1;216;Servotronic
SA_2;229;Dynamic drive
SA_3;238;Light-alloy wheels double spoke 93
SA_4;245;Steering wheel column adjustment, electrical
SA_5;302;Alarm system
SA_6;316;Automatic operation of tailgate
SA_7;319;Integrated universal remote control
SA_8;323;Soft-Close function for doors
SA_9;358;Climate comfort windscreen
C_TYP;GL63;E65 N62B44 LHD US
SA_10;403;Glass roof, electrical
SA_11;415;Roller sunblind for rear window
SA_12;416;Roller sunblinds
SA_13;423;Floor mats in velour
SA_14;430;Interior and exterior mirrors with automatic anti-dazzle function
SA_15;431;Interior rear-view mirror with automatic anti-dazzle function
SA_16;438;Fine-wood trim
SA_17;441;Smoker's package
SA_18;442;Cupholder
SA_19;453;Active seat ventilation, front
SA_20;455;Active seat for driver and front passenger
SA_21;456;Comfort seats front, electrically adjustable
SA_22;470;Child seat ISOFIX attachment
SA_23;488;Lumbar support for driver and front passenger
SA_24;494;Seat heating for driver and front passenger
SA_25;496;Seat heating for rear seats
SA_26;502;Headlight washer system
SA_27;508;Park distance control
SA_28;521;Rain sensor
SA_29;522;Xenon Light
SA_30;534;Automatic air conditioning
SA_31;609;Navigation system Professional
SA_32;620;Voice control
SA_33;645;Radio control US
SA_34;650;CD player
SA_35;672;CD changer for 6 CDs
SA_36;677;HiFi system Professional
SA_37;691;CD holder
SA_38;785;White direction indicator lights
SA_39;845;Acoustic seat-belt warning
SA_40;850;Additional tank filling, export
SA_41;853;Language version English
SA_42;925;Shipping protection package
SA_43;992;Control of number-plate attachment
C_DATE;0302;03.2002
SA_ANZ;43;
POLSTER;U6NG;
VERSION;02;
E_WORT_1;LEDE;Leather equipment
ZUSBAU_1;7523317;
ZUSBAU_2;7522245;
HO_WORT_1;NAV2;Retrofit, navigation 02
E_WORT_ANZ;1;
JOB_STATUS;OKAY;
ZUSBAU_ANZ;2;
HO_WORT_ANZ;1;
STANDARD_FA;E65_#0302*GL63%0482&U6NG|7523317|7522245$216$229$238$245$302$316$319$323$358$403$415$416$423$430$431$438$441$442$453$455$456$470$488$494$496$502$508$521$522$534$609$620$645$650$672$677$691$785$845$850$853$925$992-LEDE+NAV2;
