ECU_ADR;ECU_NAME;ECU_SGBD;ID_DATUM;ID_HW_NR;ID_BMW_NR;ID_SG_ADR;ECU_GRUPPE;ID_LIEF_NR;JOB_STATUS;_TEL_ANTWORT;_TEL_AUFTRAG;ECU_GROBNAME;ID_COD_INDEX;ID_DATUM_TAG;ID_LIEF_TEXT;ID_SW_NR_FSV;ID_SW_NR_MCV;ID_SW_NR_OSV;ID_SW_NR_RES;ID_VAR_INDEX;SERIENNUMMER;ID_DATUM_JAHR;ID_DIAG_INDEX;ID_DATUM_MONAT
00;Zentrales Gatewaymodul;ZGM_E65;19.04.2002;13;6941842;0;D_ZGM;9;OKAY;9F,F1,00,5A,80,00,00,06,94,18,42,13,00,01,00,43,35,20,02,04,19,09,00,09,16,07,00,02,00,04,0A,00,01,5F,C8;C2,EF,F1,1A,80;ZGM;0;19;Loewe => Lear;7.0.2;0.9.22;0.4.10;0.1.95;17205;;2002;256;4
01;Sicherheits- Informationsmodul;SIM;18.04.2002;05;6933041;1;D_SIM;9;OKAY;BC,F1,01,5A,80,00,00,06,93,30,41,05,07,01,10,44,41,20,02,04,18,09,00,06,6C,06,0A,02,06,09,00,FF,FF,FF,00,00,06,92,24,63,00,00,30,38,30,30,39,39,30,36,34,30,30,39,39,30,36,30,46,36,41,32,45,9A;;SIM/SGM;7;18;Loewe => Lear;6.10.2;0.6.108;6.9.0;255.255.255;17473;000003038;2002;272;4
03;Satellit A-Säule links;SASL;16.04.2002;05;6949909;3;D_SASL;27;OKAY;BC,F1,03,5A,80,00,00,06,94,99,09,05,07,01,30,44,43,20,02,04,16,27,00,06,65,06,0E,01,06,09,00,FF,FF,FF,00,00,06,92,04,68,36,33,38,43,30,32,37,39,30,38,01,30,32,37,39,30,38,30,46,36,45,31,45,3D;;SASL;7;16;Delphi PHI;6.14.1;0.6.101;6.9.0;255.255.255;17475;036333843;2002;304;4
04;Satellit A-Säule rechts;SASR;12.04.2002;05;6949908;4;D_SASR;27;OKAY;BC,F1,04,5A,80,00,00,06,94,99,08,05,07,01,40,44,44,20,02,04,12,27,00,06,66,06,0E,01,06,09,00,FF,FF,FF,00,00,06,92,04,69,56,4C,45,4C,30,32,37,39,30,39,01,30,32,37,39,30,39,30,46,36,45,31,45,9D;;SASR;7;12;Delphi PHI;6.14.1;0.6.102;6.9.0;255.255.255;17476;0564C454C;2002;320;4
09;Satellit B-Säule links;SBSL;12.04.2002;05;6949911;9;D_SBSL;27;OKAY;BC,F1,09,5A,80,00,00,06,94,99,11,05,08,01,90,44,49,20,02,04,12,27,00,06,67,06,0E,01,06,09,00,FF,FF,FF,00,00,06,92,04,70,34,57,30,48,30,32,37,39,31,30,01,30,32,37,39,31,30,30,46,36,45,31,45,C9;;SBSL;8;12;Delphi PHI;6.14.1;0.6.103;6.9.0;255.255.255;17481;034573048;2002;400;4
0E;Satellit Fahrzeugzentrum;SFZ;18.04.2002;04;6949901;14;D_SFZ;27;OKAY;BC,F1,0E,5A,80,00,00,06,94,99,01,04,08,01,E0,44,4E,20,02,04,18,27,00,06,69,06,0E,01,06,09,00,FF,FF,FF,00,00,06,92,04,72,32,57,57,36,30,32,37,38,33,38,01,30,32,37,38,33,38,30,46,36,45,31,45,41;;SFZ;8;18;Delphi PHI;6.14.1;0.6.105;6.9.0;255.255.255;17486;032575736;2002;480;4
07;Satellit Sitz Fahrer;SSFA;18.04.2002;05;6949905;7;D_SSFA;9;OKAY;BC,F1,07,5A,80,00,00,06,94,99,05,05,07,01,70,44,47,20,02,04,18,09,00,06,72,06,0E,01,06,09,00,FF,FF,FF,00,00,06,92,45,55,00,00,91,7A,30,30,39,39,31,35,32,30,30,39,39,31,35,30,46,36,45,31,45,F4;;SSFA;7;18;Loewe => Lear;6.14.1;0.6.114;6.9.0;255.255.255;17479;00000917A;2002;368;4
08;Satellit Sitz Beifahrer;SSBF;20.04.2002;05;6949904;8;D_SSBF;9;OKAY;BC,F1,08,5A,80,00,00,06,94,99,04,05,07,01,80,44,48,20,02,04,20,09,00,06,71,06,0E,01,06,09,00,FF,FF,FF,00,00,06,92,45,56,00,00,8E,28,30,30,39,39,31,36,32,30,30,39,39,31,36,30,46,36,45,31,45,BA;;SSBF;7;20;Loewe => Lear;6.14.1;0.6.113;6.9.0;255.255.255;17480;000008E28;2002;384;4
02;Satellit Lenksäule;SZL;11.04.2005;10;6970833;2;D_SZL;2;OKAY;BC,F1,02,5A,80,00,00,06,97,08,33,10,08,01,20,44,42,20,05,04,11,02,00,06,77,06,0F,00,06,0A,01,FF,FF,FF,00,00,06,97,08,33,FF,FF,FF,FF,30,30,32,39,30,37,30,30,30,32,39,30,37,30,46,36,46,30,45,CB;;SZL;8;11;Kostal;6.15.0;0.6.119;6.10.1;255.255.255;17474;0FFFFFFFF;2005;288;4
0A;Satellit B-Säule rechts;SBSR;17.04.2002;06;6949910;10;D_SBSR;27;OKAY;BC,F1,0A,5A,80,00,00,06,94,99,10,06,08,01,A0,44,4A,20,02,04,17,27,00,06,68,06,0E,01,06,09,00,FF,FF,FF,00,00,06,91,98,53,31,4B,45,46,30,32,37,39,31,31,02,30,32,37,39,31,31,30,46,36,45,31,45,5E;;SBSR;8;17;Delphi PHI;6.14.1;0.6.104;6.9.0;255.255.255;17482;0314B4546;2002;416;4
05;Satellit Tür vorne links;STVL;11.04.2002;05;6970905;5;D_STVL;4;OKAY;BC,F1,05,5A,80,00,00,06,97,09,05,05,07,01,50,44,45,20,02,04,11,04,00,06,74,06,0E,04,06,09,00,FF,FF,FF,00,00,06,92,04,77,21,01,01,06,30,30,34,39,31,33,05,30,30,34,39,31,33,30,46,36,45,34,45,03;;STVL/TEFA;7;11;Siemens;6.14.4;0.6.116;6.9.0;255.255.255;17477;021010106;2002;336;4
45;Regen- Lichtsensor;RLS_E65;18.09.2001;41;6922046;69;D_RLS;2;OKAY;9F,F1,45,5A,80,00,00,06,92,20,46,41,02,03,60,41,39,20,01,09,18,02,00,05,29,06,00,05,02,03,00,63,10,04,C6;;RLS;2;18;Kostal;6.0.5;0.5.41;2.3.0;99.16.4;16697;;2001;864;9
06;Satellit Tür vorne rechts;STVR;17.04.2002;05;6970907;6;D_STVR;4;OKAY;BC,F1,06,5A,80,00,00,06,97,09,07,05,07,01,60,44,46,20,02,04,17,04,00,06,75,06,0E,04,06,09,00,FF,FF,FF,00,00,06,92,04,78,21,07,00,17,30,30,34,39,31,34,05,30,30,34,39,31,34,30,46,36,45,34,45,37;;STVR/TEBF;7;17;Siemens;6.14.4;0.6.117;6.9.0;255.255.255;17478;021070017;2002;352;4
65;Bedienzentrum Mittelkonsole;BZM_E65;01.06.2001;15;6928255;101;D_BZM;5;OKAY;9F,F1,65,5A,80,00,00,06,92,82,55,15,00,04,30,42,57,20,01,06,01,05,00,05,09,06,07,00,02,03,00,00,00,00,6D;;BZM/SZM;0;1;Eaton;6.7.0;0.5.9;2.3.0;0.0.0;16983;;2001;1072;6
41;Diebstahlwarnanlage;DWA_E65;16.04.2002;C1;6929701;65;D_DWA;41;OKAY;9F,F1,41,5A,80,00,00,06,92,97,01,C1,03,03,20,41,4D,20,02,04,16,41,00,05,22,06,03,06,02,03,00,00,00,00,08;;DWA;3;16;Megamos;6.3.6;0.5.34;2.3.0;0.0.0;16717;;2002;800;4
46;Wischermodul;WIM_E65;22.02.2000;00;6923740;70;D_WIM;8;OKAY;A1,F1,46,5A,80,00,00,06,92,37,40,00,03,03,70,43,34,20,00,02,22,08,00,06,93,06,05,04,02,03,00,00,00,00,20,00,C7;;WIM;3;22;Bosch;6.5.4;0.6.147;2.3.0;0.0.0;17204;;2000;880;2
44;Schiebehebedach;SHD_E65;02.11.2000;C2;6924111;68;D_SHD;4;OKAY;9F,F1,44,5A,80,00,00,06,92,41,11,C2,02,03,50,42,49,20,00,11,02,04,00,06,6A,06,0C,00,02,03,00,00,00,00,F8;;SHD/MDS;2;2;Siemens;6.12.0;0.6.106;2.3.0;0.0.0;16969;;2000;848;11
