Results;SA_Code;Description
BR;E60_;
LACK;0416;Carbonschwarz Metallic 
SA_1;205;Automatic transmission
SA_2;229;Dynamic drive
SA_3;2NN;M light alloy wheels double-spoke style 172 M with mixed tyres
SA_4;2VB;Tyre Pressure Monitor
SA_5;300;Emergency spare wheel
SA_6;302;Alarm system
SA_7;319;Integrated universal remote control
SA_8;322;Comfort access system
SA_9;337;M Sports package
C_TYP;NW53;E60 Saloon N62B48 T1 LHD US
SA_10;339;Shadow Line
SA_11;403;Glass roof, electrical
SA_12;415;Roller sunblind for rear window
SA_13;416;Roller sunblinds
SA_14;430;Interior and exterior mirrors with automatic anti-dazzle function
SA_15;431;Interior rear-view mirror with automatic anti-dazzle function
SA_16;441;Smoker's package
SA_17;442;Cupholder
SA_18;456;Comfort seats front, electrically adjustable
SA_19;473;Armrest front
SA_20;494;Seat heating for driver and front passenger
SA_21;4BY;Fine-wood trim bamboo grain anthracite
SA_22;508;Park distance control
SA_23;522;Xenon Light
SA_24;524;Adaptive headlight
SA_25;534;Automatic air conditioning
SA_26;544;Cruise control with braking function
SA_27;563;Lights package
SA_28;609;Navigation system Professional
SA_29;615;Extended BMW online information
SA_30;620;Voice control
SA_31;639;Full preparation package mobile phone USA/CDN including Telematics
SA_32;645;Radio control US
SA_33;653;High Definition Radio
SA_34;655;Satellite tuner
SA_35;677;HiFi system Professional
SA_36;697;Area code 1 for DVD
SA_37;6AA;BMW TeleServices
SA_38;6AB;Control BMW TeleServices
SA_39;6FL;USB audio interface
SA_40;6UH;Traffic Information
SA_41;704;M Sports suspension
SA_42;710;M leather steering wheel
SA_43;715;M Aerodynamics package
SA_44;775;BMW Individual headliner anthracite
SA_45;823;Hot-climate version
SA_46;845;Acoustic seat-belt warning
SA_47;850;Additional tank filling, export
SA_48;853;Language version English
SA_49;876;Radio frequency 315 MHz
SA_50;8S4;Decoding variable light distribution
SA_51;925;Shipping protection package
SA_52;992;Control of number-plate attachment
C_DATE;0909;09.2009
SA_ANZ;52;
POLSTER;LCSW;
VERSION;02;
E_WORT_1;B110;Battery 110 Ah, DO
E_WORT_ANZ;1;
JOB_STATUS;OKAY;
ZUSBAU_ANZ;0;
HO_WORT_ANZ;0;
STANDARD_FA;E60_#0909*NW53%0416&LCSW$205$229$2NN$2VB$300$302$319$322$337$339$403$415$416$430$431$441$442$456$473$494$4BY$508$522$524$534$544$563$609$615$620$639$645$653$655$677$697$6AA$6AB$6FL$6UH$704$710$715$775$823$845$850$853$876$8S4$925$992-B110;
