ECU_ADR;ECU_NAME;ECU_SGBD;ID_DATUM;ID_HW_NR;ID_BMW_NR;ID_SG_ADR;ECU_GRUPPE;ID_LIEF_NR;JOB_STATUS;_TEL_ANTWORT;_TEL_AUFTRAG;ECU_GROBNAME;ID_COD_INDEX;ID_DATUM_TAG;ID_LIEF_TEXT;ID_SW_NR_FSV;ID_SW_NR_MCV;ID_SW_NR_OSV;ID_SW_NR_RES;ID_VAR_INDEX;SERIENNUMMER;ID_DATUM_JAHR;ID_DIAG_INDEX;ID_DATUM_MONAT
23;Aktive Rollstabilisierung;ARS_70;16.11.2009;33;6786139;35;D_ARS;24;OKAY;BC,F1,23,5A,80,00,00,06,78,61,39,33,12,02,52,50,5A,20,09,11,16,24,00,17,92,08,0C,00,05,06,00,08,0C,00,00,00,06,78,05,90,00,26,23,32,30,32,34,31,37,50,31,30,32,34,31,37,50,30,46,31,34,30,43,FE;C2,EF,F1,1A,80;ARS/SVT;18;16;Temic;8.12.0;0.23.146;5.6.0;8.12.0;20570;000262332;2009;594;11
00;Karosserie Gatewaymodul;KGM_60;18.11.2009;01;9221109;0;D_ZGM;9;OKAY;9F,F1,00,5A,80,00,00,09,22,11,09,01,05,0B,D0,4D,56,20,09,11,18,09,00,10,6C,09,5F,01,03,05,0A,00,00,00,85;;ZGM;5;18;Lear Corporation;9.95.1;0.16.108;3.5.10;0.0.0;19798;;2009;3024;11
20;Reifen Druck Control;RDC_CAN;16.11.2009;04;6785279;32;D_RDC;75;OKAY;9F,F1,20,5A,80,00,00,06,78,52,79,04,00,10,00,45,47,20,09,11,16,75,00,12,38,0B,01,00,03,0A,03,00,00,00,9E;;RDC;0;16;Huf-Electronics Bretten GmbH;11.1.0;0.18.56;3.10.3;0.0.0;17735;;2009;4096;11
27;Passive Go System;PGS_65_2;16.11.2009;00;9134707;39;D_PGS;4;OKAY;9F,F1,27,5A,80,00,00,09,13,47,07,00,04,02,61,4B,5A,20,09,11,16,04,00,0C,1E,09,10,00,03,03,00,00,00,00,A4;;PGS;4;16;Siemens;9.16.0;0.12.30;3.3.0;0.0.0;19290;;2009;609;11
40;Car Access System 2 / 3;CAS;21.11.2009;C4;9262360;64;D_CAS;4;OKAY;BC,F1,40,5A,80,00,00,09,26,23,60,C4,09,06,A0,53,41,20,09,11,21,04,00,00,00,02,07,01,03,03,00,00,00,00,00,00,06,94,38,06,30,31,39,30,30,30,34,32,4A,4C,44,30,30,34,32,4A,4C,44,46,32,31,39,53,06;;CAS;9;21;Siemens;2.7.1;0.0.0;3.3.0;0.0.0;21313;030313930;2009;1696;11
44;Multi Drive Schiebehebedach;SD_KWP;28.08.2006;C2;9137056;68;D_SHD;4;OKAY;9F,F1,44,5A,80,00,00,09,13,70,56,C2,07,03,51,48,58,20,06,08,28,04,00,0B,AC,05,04,05,03,02,03,05,04,02,7F;;SHD/MDS;7;28;Siemens;5.4.5;0.11.172;3.2.3;5.4.2;18520;;2006;849;8
02;Schaltzentrum Lenksäule;SZL_60;11.11.2009;09;9204505;2;D_SZL;2;OKAY;9F,F1,02,5A,80,00,00,09,20,45,05,09,24,01,C8,4E,42,20,09,11,11,02,00,17,0A,36,0A,01,04,00,01,00,00,00,19;;SZL;36;11;Leopold Kostal GmbH & Co. KG;54.10.1;0.23.10;4.0.1;0.0.0;20034;;2009;456;11
5E;Gangwahlschalter;GWS_60_2;21.02.2008;21;9213651;94;D_GWS;61;OKAY;BC,F1,5E,5A,80,00,00,09,21,36,51,21,0A,0F,C8,53,55,20,08,02,21,61,00,1F,51,04,08,09,04,02,02,00,00,00,00,00,09,19,08,03,00,00,00,00,30,36,31,32,41,4D,30,30,36,31,32,41,4D,30,46,30,33,30,41,CE;;GWS;10;21;Marquardt GmbH;4.8.9;0.31.81;4.2.2;0.0.0;21333;000000000;2008;4040;2
64;Park Distance Control;PDC_65_2;18.11.2009;01;9185139;100;D_PDC;11;OKAY;9F,F1,64,5A,80,00,00,09,18,51,39,01,02,04,21,4C,57,20,09,11,18,11,00,0C,5F,09,0F,00,03,03,1E,00,00,00,4E;;PDC;2;18;Valeo GmbH;9.15.0;0.12.95;3.3.30;0.0.0;19543;;2009;1057;11
01;Airbag-Elektronik;ACSM60;12.11.2009;22;9172018;1;D_SIM;58;OKAY;9F,F1,01,5A,80,00,00,09,17,20,18,22,22,0B,20,4D,51,20,09,11,12,58,00,14,B6,2C,32,00,04,00,00,00,00,00,A0;;SIM/SGM;34;12;Autoliv AB;44.50.0;0.20.182;4.0.0;0.0.0;19793;;2009;2848;11
65;Schaltzentrum Mittelkonsole;SZM_60;15.08.2006;03;9183233;101;D_BZM;5;OKAY;9F,F1,65,5A,80,00,00,09,18,32,33,03,04,07,18,44,55,20,06,08,15,05,00,15,1A,02,05,01,03,03,3C,00,00,00,D5;;BZM/SZM;4;15;Eaton;2.5.1;0.21.26;3.3.60;0.0.0;17493;;2006;1816;8
12;Motorelektronik ME 9  8 Zylinder N62 TUE2;N62_TUE2;14.11.2009;00;7600923;18;D_MOTOR;8;OKAY;9F,F1,12,5A,80,00,00,07,60,09,23,00,21,00,20,37,51,20,09,11,14,08,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,22;;DME/DDE;33;14;Robert Bosch GmbH;255.255.255;255.255.255;255.255.255;255.255.255;14161;;2009;32;11
67;Zentrale Bedieneinheit;ZBE_60_2;30.05.2007;16;9205177;103;D_EC;61;OKAY;BC,F1,67,5A,80,00,00,09,20,51,77,16,05,10,90,55,58,20,07,05,30,61,00,1D,36,04,2B,08,04,02,01,00,00,00,00,00,09,16,58,66,00,00,00,00,30,36,31,32,37,48,30,30,36,31,32,37,48,30,46,30,36,30,41,7F;;ZBE;5;30;Marquardt GmbH;4.43.8;0.29.54;4.2.1;0.0.0;21848;000000000;2007;4240;5
18;Getriebesteuergerät GS19 D;GS19D;22.11.2012;20;7591972;24;D_EGS;8;OKAY;BC,F1,18,5A,80,00,00,07,59,19,72,20,05,02,04,53,4C,20,12,11,22,08,00,1D,45,C3,40,01,02,03,0A,00,00,00,00,00,07,56,99,80,12,30,05,64,30,34,37,39,53,39,30,30,34,37,39,53,39,30,54,36,34,31,5A,C0;;EGS;5;22;Robert Bosch GmbH;195.64.1;0.29.69;2.3.10;0.0.0;21324;012300564;2012;516;11
