ECU_ADR;ECU_NAME;ECU_SGBD;ID_DATUM;ID_HW_NR;ID_BMW_NR;ID_SG_ADR;ECU_GRUPPE;ID_LIEF_NR;JOB_STATUS;_TEL_ANTWORT;_TEL_AUFTRAG;ECU_GROBNAME;ID_COD_INDEX;ID_DATUM_TAG;ID_LIEF_TEXT;ID_SW_NR_FSV;ID_SW_NR_MCV;ID_SW_NR_OSV;ID_SW_NR_RES;ID_VAR_INDEX;SERIENNUMMER;ID_DATUM_JAHR;ID_DIAG_INDEX;ID_DATUM_MONAT
17;Elektrische Kraftstoffpumpe 2. Generation;EKPM60_3;08.11.2006;05;7276381;23;D_EKP;7;OKAY;9F,F1,17,5A,80,00,00,07,27,63,81,05,03,06,12,4C,49,20,06,11,08,07,00,12,2D,04,3C,00,03,03,1E,00,00,01,32;C2,EF,F1,1A,80;EKP;3;8;Helbako;4.60.0;0.18.45;3.3.30;0.0.1;19529;;2006;1554;11
00;Junction Box Beifahrer;JBBF87;01.03.2004;05;9134484;0;D_ZGM;9;OKAY;9F,F1,00,5A,80,00,00,09,13,44,84,05,07,08,C0,47,59,20,04,03,01,09,00,12,8D,05,09,00,03,03,00,00,00,00,A6;;JBBF;7;1;Loewe => Lear;5.9.0;0.18.141;3.3.0;0.0.0;18265;;2004;2240;3
56;Funktionszentrum Dach;FZD_87;13.12.2002;34;9205105;86;D_FZD;2;OKAY;9F,F1,56,5A,80,00,00,09,20,51,05,34,06,05,A0,48,43,20,02,12,13,02,00,0C,03,05,01,03,03,03,00,00,00,08,18;;FZD;6;13;Kostal;5.1.3;0.12.3;3.3.0;0.0.8;18499;;2002;1440;12
40;Car Access System 2 / 3;CAS;11.11.2006;C3;9147225;64;D_CAS;4;OKAY;9F,F1,40,5A,80,00,00,09,14,72,25,C3,06,06,A0,53,41,20,06,11,11,04,00,00,00,02,04,07,03,03,00,00,00,00,C0;;CAS;6;11;Siemens;2.4.7;0.0.0;3.3.0;0.0.0;21313;;2006;1696;11
18;Getriebesteuergerät GS19.12;GS1912;23.09.2006;01;7576679;24;D_EGS;48;OKAY;BC,F1,18,5A,80,00,00,07,57,66,79,01,00,0C,80,4E,43,20,06,09,23,48,00,0D,DC,03,09,00,FF,FF,FF,00,00,00,00,00,07,56,40,41,01,02,09,06,30,34,38,39,52,5A,30,30,34,38,39,52,5A,30,53,33,39,30,52,19;;EGS;0;23;GMPT;3.9.0;0.13.220;255.255.255;0.0.0;20035;001020906;2006;3200;9
78;Klimaautomatik;IHKA87;02.11.2006;03;9199260;120;D_KLIMA;56;OKAY;9F,F1,78,5A,80,00,00,09,19,92,60,03,01,05,D0,47,55,20,06,11,02,56,00,17,67,0B,00,C4,03,03,1E,00,00,00,6B;;KLIMA;1;2;Siemens VDO Automotive;11.0.196;0.23.103;3.3.30;0.0.0;18261;;2006;1488;11
72;Fussraum Modul Fahrerseite;FRM_87;12.11.2006;11;9128183;114;D_KBM;9;OKAY;9F,F1,72,5A,80,00,00,09,12,81,83,11,12,05,C0,47,58,20,06,11,12,09,00,0C,04,07,00,00,03,03,00,00,00,00,F1;;FRM;18;12;Loewe => Lear;7.0.0;0.12.4;3.3.0;0.0.0;18264;;2006;1472;11
12;Motorelektronik MS 80 6 Zylinder N51/N52K;MSV80;09.11.2006;00;7602220;18;D_MOTOR;4;OKAY;9F,F1,12,5A,80,00,00,07,60,22,20,00,0E,00,00,4D,57,20,06,11,09,04,00,00,00,00,00,00,00,00,00,FF,FF,FF,18;;DME/DDE;14;9;Siemens;0.0.0;0.0.0;0.0.0;255.255.255;19799;;2006;0;11
6D;Sitzmodul Fahrer;FAS_PLX;29.10.2006;05;9196936;109;D_FAS;24;OKAY;BC,F1,6D,5A,80,00,00,09,19,69,36,05,15,0C,50,53,4E,20,06,10,29,24,00,0A,14,07,0E,00,03,03,03,00,00,00,00,00,06,92,63,62,00,17,79,47,30,32,34,31,45,5A,30,30,32,34,31,45,5A,30,46,31,35,30,41,08;;FAS;21;29;Temic;7.14.0;0.10.20;3.3.3;0.0.0;21326;000177947;2006;3152;10
01;Airbag Steuergerät;MRS5;03.11.2006;10;9134280;1;D_SIM;8;OKAY;9F,F1,01,5A,80,00,00,09,13,42,80,10,08,08,E0,47,5A,20,06,11,03,08,00,16,20,04,0A,00,03,28,0A,00,00,00,A5;;MRS;8;3;Bosch;4.10.0;0.22.32;3.40.10;0.0.0;18266;;2006;2272;11
