SIGNATURE : 00010001010163 02
SWT_EINTRAG : 0475 "ACL_MAX_VALUE_X_SFZ"
SWT_EINTRAG : 042B "ACL_MAX_VALUE_Y_SASL"
SWT_EINTRAG : 042C "ACL_MAX_VALUE_Y_SASR"
SWT_EINTRAG : 0453 "ACL_MAX_VALUE_Y_SBSL"
SWT_EINTRAG : 045C "ACL_MAX_VALUE_Y_SBSR"
SWT_EINTRAG : 0476 "ACL_MAX_VALUE_Y_SFZ"
SWT_EINTRAG : 02AF "ACS_NB_PT1"
SWT_EINTRAG : 0D10 "ACTIVE_FRONT_STEERING"
SWT_EINTRAG : 024C "ADW_ADW_2PIFGBP_HA"
SWT_EINTRAG : 0248 "ADW_ADW_2PIFGBP_VA"
SWT_EINTRAG : 024A "ADW_ADW_BPHP1_HA"
SWT_EINTRAG : 0246 "ADW_ADW_BPHP1_VA"
SWT_EINTRAG : 0249 "ADW_ADW_BPHP2_HA"
SWT_EINTRAG : 0245 "ADW_ADW_BPHP2_VA"
SWT_EINTRAG : 024B "ADW_ADW_IHP1_HA"
SWT_EINTRAG : 0247 "ADW_ADW_IHP1_VA"
SWT_EINTRAG : 024D "ADW_ADW_K_SKY"
SWT_EINTRAG : 024E "ADW_ADW_TP1_HUELL"
SWT_EINTRAG : 025E "ADW_AUFBAU_ADW_SP"
SWT_EINTRAG : 0260 "ADW_AUFBAU_ADW1"
SWT_EINTRAG : 0261 "ADW_AUFBAU_ADW1_2"
SWT_EINTRAG : 0262 "ADW_AUFBAU_ADW2"
SWT_EINTRAG : 0263 "ADW_AUFBAU_ADW3"
SWT_EINTRAG : 0264 "ADW_AUFBAU_ADW3_2"
SWT_EINTRAG : 025F "ADW_AUFBAU_VFZG_SP"
SWT_EINTRAG : 026C "ADW_IFA_K_ADW"
SWT_EINTRAG : 026E "ADW_IFA_K_ADW_KOM_HA"
SWT_EINTRAG : 026D "ADW_IFA_K_ADW_KOM_VA"
SWT_EINTRAG : 027A "ADW_KENNL_I_ADW_HA"
SWT_EINTRAG : 027B "ADW_KENNL_I_ADW_HA_2"
SWT_EINTRAG : 0276 "ADW_KENNL_I_ADW_SP"
SWT_EINTRAG : 0277 "ADW_KENNL_I_ADW_SP_2"
SWT_EINTRAG : 0278 "ADW_KENNL_I_ADW_VA"
SWT_EINTRAG : 0279 "ADW_KENNL_I_ADW_VA_2"
SWT_EINTRAG : 025D "ADW_KENNL_RDW"
SWT_EINTRAG : 025C "ADW_KENNL_RDW_SP"
SWT_EINTRAG : 025B "ADW_KENNL_VFZG_HA"
SWT_EINTRAG : 025A "ADW_KENNL_VFZG_HA_SP"
SWT_EINTRAG : 0259 "ADW_KENNL_VFZG_VA"
SWT_EINTRAG : 0258 "ADW_KENNL_VFZG_VA_SP"
SWT_EINTRAG : 0268 "ADW_SITZREITKENNF_ADW1"
SWT_EINTRAG : 0269 "ADW_SITZREITKENNF_ADW2"
SWT_EINTRAG : 026A "ADW_SITZREITKENNF_ADW2_2"
SWT_EINTRAG : 026B "ADW_SITZREITKENNF_ADW3"
SWT_EINTRAG : 0266 "ADW_SITZREITKENNF_V_SP"
SWT_EINTRAG : 0267 "ADW_SITZREITKENNF_V_SP_2"
SWT_EINTRAG : 0265 "ADW_SITZREITKENNL_ADW_SP"
SWT_EINTRAG : 0BEB "AEND_INDEX"
